"filename", "language", "MSBuild", "C#", "CSS", "EditorConfig", "JSON", "HTML", "XML", "JavaScript", "SQL", "HTTP", "Solution File", "Log", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323144525_Payment.cs", "C#", 0, -44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6, -53
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323145205_UpdatePayment.Designer.cs", "C#", 0, -404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -146, -552
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323145205_UpdatePayment.cs", "C#", 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -30
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323164853_PaymentV3.Designer.cs", "C#", 0, -410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -148, -560
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323164853_PaymentV3.cs", "C#", 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6, -41
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323175511_PaymentV4.Designer.cs", "C#", 0, -413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -149, -564
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323175511_PaymentV4.cs", "C#", 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -30
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240326163751_user_payment_info.Designer.cs", "C#", 0, -438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -161, -601
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240326163751_user_payment_info.cs", "C#", 0, -112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -26, -141
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240402152240_Photos.Designer.cs", "C#", 0, -441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -162, -605
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240402152240_Photos.cs", "C#", 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -30
